game_id,season,week,gameday,gametime,home_team,away_team,home_score,away_score,result,total,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface
2024_01_BAL_KC,2024,1,2024-09-05,20:20,KC,BAL,27.0,20.0,7.0,47.0,3.0,46.0,-148.0,124.0,GEHA Field at Arrowhead Stadium,outdoors,grass
2024_01_GB_PHI,2024,1,2024-09-06,20:15,PHI,GB,34.0,29.0,5.0,63.0,2.0,49.5,-130.0,110.0,Arena Corinthians,outdoors,
2024_01_PIT_ATL,2024,1,2024-09-08,13:00,ATL,PIT,10.0,18.0,-8.0,28.0,4.0,43.0,-192.0,160.0,Mercedes-Benz Stadium,closed,fieldturf
2024_01_ARI_BUF,2024,1,2024-09-08,13:00,BUF,ARI,34.0,28.0,6.0,62.0,6.5,46.0,-310.0,250.0,New Era Field,outdoors,a_turf
2024_01_TEN_CHI,2024,1,2024-09-08,13:00,CHI,TEN,24.0,17.0,7.0,41.0,4.0,43.0,-198.0,164.0,Soldier Field,outdoors,grass
2024_01_NE_CIN,2024,1,2024-09-08,13:00,CIN,NE,10.0,16.0,-6.0,26.0,8.0,40.5,-375.0,295.0,Paycor Stadium,outdoors,fieldturf
2024_01_HOU_IND,2024,1,2024-09-08,13:00,IND,HOU,27.0,29.0,-2.0,56.0,-3.0,49.0,130.0,-155.0,Lucas Oil Stadium,closed,fieldturf
2024_01_JAX_MIA,2024,1,2024-09-08,13:00,MIA,JAX,20.0,17.0,3.0,37.0,3.5,49.5,-180.0,150.0,Hard Rock Stadium,outdoors,grass
2024_01_CAR_NO,2024,1,2024-09-08,13:00,NO,CAR,47.0,10.0,37.0,57.0,3.5,41.5,-192.0,160.0,Mercedes-Benz Superdome,dome,sportturf
2024_01_MIN_NYG,2024,1,2024-09-08,13:00,NYG,MIN,6.0,28.0,-22.0,34.0,-1.0,42.5,-105.0,-115.0,MetLife Stadium,outdoors,fieldturf
2024_01_LV_LAC,2024,1,2024-09-08,16:05,LAC,LV,22.0,10.0,12.0,32.0,3.0,41.0,-155.0,130.0,SoFi Stadium,dome,matrixturf
