game_id,team,season,week,total_epa,success_rate,total_yards,total_plays,pass_plays,rush_plays,touchdowns,interceptions,fumbles_lost,epa_per_play,yards_per_play
2024_01_ARI_BUF,ARI,2024,1,10.728375,0.4473684,272.0,76,38.0,22.0,3.0,0.0,1.0,0.14116283466941432,3.5789473684210527
2024_01_ARI_BUF,BUF,2024,1,15.308595,0.6125,352.0,81,32.0,28.0,4.0,0.0,1.0,0.18899499634165823,4.345679012345679
2024_01_BAL_KC,BAL,2024,1,1.9756055,0.55789477,452.0,96,58.0,22.0,2.0,0.0,1.0,0.020579223831494648,4.708333333333333
2024_01_BAL_KC,KC,2024,1,8.692867,0.47142857,353.0,70,33.0,20.0,3.0,1.0,0.0,0.12418381827218192,5.042857142857143
2024_01_CAR_NO,CAR,2024,1,-29.23609,0.3846154,193.0,79,42.0,17.0,1.0,2.0,2.0,-0.3700770848914038,2.4430379746835444
2024_01_CAR_NO,NO,2024,1,15.9332285,0.49382716,379.0,81,28.0,38.0,5.0,0.0,0.0,0.19670652460168908,4.679012345679013
2024_01_DAL_CLE,CLE,2024,1,-23.939781,0.29591838,230.0,98,60.0,16.0,3.0,2.0,0.0,-0.24428348152004942,2.3469387755102042
2024_01_DAL_CLE,DAL,2024,1,-3.1750245,0.41666666,265.0,85,36.0,26.0,2.0,0.0,0.0,-0.037353229522705075,3.1176470588235294
2024_01_DEN_SEA,DEN,2024,1,-12.368575,0.37634408,231.0,93,49.0,20.0,1.0,2.0,2.0,-0.13299543114118678,2.4838709677419355
2024_01_DEN_SEA,SEA,2024,1,-4.0472393,0.47058824,304.0,86,35.0,29.0,3.0,1.0,0.0,-0.04706092213475427,3.5348837209302326
2024_01_GB_PHI,GB,2024,1,7.785741,0.47058824,414.0,86,42.0,25.0,3.0,1.0,0.0,0.09053187037623206,4.813953488372093
2024_01_GB_PHI,PHI,2024,1,9.840618,0.5263158,410.0,95,40.0,35.0,4.0,2.0,1.0,0.10358545403731496,4.315789473684211
2024_01_HOU_IND,HOU,2024,1,12.251594,0.5104167,417.0,97,40.0,37.0,3.0,0.0,0.0,0.126305088554461,4.298969072164948
2024_01_HOU_IND,IND,2024,1,5.585914,0.5423729,303.0,59,25.0,20.0,4.0,1.0,0.0,0.09467651076236014,5.135593220338983
2024_01_JAX_MIA,JAX,2024,1,-3.0061493,0.43055555,267.0,72,27.0,26.0,2.0,0.0,1.0,-0.04175207349989149,3.7083333333333335
2024_01_JAX_MIA,MIA,2024,1,-0.53424335,0.43529412,400.0,86,45.0,26.0,2.0,0.0,0.0,-0.006212131921635117,4.651162790697675
2024_01_LA_DET,DET,2024,1,7.2814655,0.55128205,363.0,79,31.0,30.0,3.0,1.0,0.0,0.09217044975184187,4.594936708860759
2024_01_LA_DET,LA,2024,1,4.918031,0.49462366,387.0,93,53.0,25.0,2.0,1.0,0.0,0.05288205608244865,4.161290322580645
2024_01_LV_LAC,LAC,2024,1,-9.605863,0.36363637,316.0,78,29.0,25.0,2.0,0.0,0.0,-0.12315208483964969,4.051282051282051
2024_01_LV_LAC,LV,2024,1,-23.12459,0.3918919,296.0,74,41.0,19.0,1.0,1.0,2.0,-0.3124944583789722,4.0
2024_01_MIN_NYG,MIN,2024,1,6.3244405,0.46268657,312.0,68,28.0,26.0,3.0,1.0,1.0,0.09300647763644948,4.588235294117647
2024_01_MIN_NYG,NYG,2024,1,-20.879284,0.38202247,240.0,89,51.0,19.0,1.0,2.0,0.0,-0.23459869556212692,2.696629213483146
2024_01_NE_CIN,CIN,2024,1,-2.342688,0.4918033,224.0,61,38.0,13.0,1.0,0.0,1.0,-0.03840472268276527,3.6721311475409837
2024_01_NE_CIN,NE,2024,1,6.299955,0.49382716,290.0,82,29.0,32.0,1.0,0.0,1.0,0.0768287181854248,3.5365853658536586
2024_01_NYJ_SF,NYJ,2024,1,-0.16778803,0.484375,266.0,64,32.0,18.0,3.0,1.0,1.0,-0.002621687948703766,4.15625
2024_01_NYJ_SF,SF,2024,1,15.303345,0.5,401.0,89,35.0,36.0,2.0,0.0,0.0,0.17194769355688203,4.50561797752809
2024_01_PIT_ATL,ATL,2024,1,-16.767752,0.47826087,226.0,70,32.0,23.0,1.0,2.0,1.0,-0.2395393099103655,3.2285714285714286
2024_01_PIT_ATL,PIT,2024,1,-3.4066808,0.42857143,270.0,84,32.0,36.0,0.0,0.0,0.0,-0.04055572407586234,3.2142857142857144
2024_01_TEN_CHI,CHI,2024,1,-15.090009,0.41333333,150.0,76,35.0,19.0,0.0,0.0,1.0,-0.1985527465217992,1.9736842105263157
2024_01_TEN_CHI,TEN,2024,1,-23.097483,0.39759037,244.0,83,39.0,25.0,4.0,2.0,1.0,-0.2782829238707761,2.9397590361445785
